#fields	hash	name
61d50e7771aee7f2f4b89a7200b4d45e	AcroCEF	T
e4adf57bf4a7a2dc08e9495f1b05c0ea	Adium_1.5.10_(b)	T
29085f03f8e8a03f0b399c5c7cf0b0b8	Adware__(from_abuse.ch)	T
849b04bdbd1d2b983f6e8a457e0632a8	Adware__(from_abuse.ch)	T
b13d01846ad7a14a70bf030a16775c78	Adware__(from_abuse.ch)	T
e330bca99c8a5256ae126a55c4c725c5	Adware__(from_abuse.ch);Chrome_Version_57.0.2987.110_(64-bit)_Linux	T
bc6c386f480ee97b9d9e52d472b772d8	Adware__(from_abuse.ch);Google_Chrome	T
d551fafc4f40f1dec2bb45980bfa9492	Adware__(from_abuse.ch);Google_Chrome	T
49a6cf42956937669a01438f26e7c609	AIM	T
0bb402a703d08a608bf82763b1b63313	AirCanada_Android_App	T
d5169d6e19447685bf6f1af8c055d94d	AirCanada_Android_App	T
561145462cfc7de1d6a97e93d3264786	Airmail_3	T
f6fd83a21f9f3c5f9ff7b5c63bbc179d	Alation_Compose,"Adware__(from_abuse.ch)	T
6003b52942a2e1e1ea72d802d153ec08	Amazon_Music	T
eb149984fc9c44d85ed7f12c90d818be	Amazon_Music	T
662fdc668dd6af994a0f903dbcf25d66	Android_App	T
515601c4141e718865697050a7a1765f	Android_Google_API_Access	T
25b72c88f837567856118febcca761e0	Android_Webkit_Thing	T
5331a12866e19199b363f6e903381498	Android_Webkit_Thing	T
855953256ecc8e2b6d2360aff8e5d337	Android_Webkit_Thing	T
85bb8aa8e5ba373906348831bdbed41a	Android_Webkit_Thing	T
99d8afeec9a4422120336ad720a5d692	Android_Webkit_Thing	T
8e3f1bf87bc652a20de63bfd4952b16a	AnypointStudio	T
5507277945374659a5b4572e1b6d9b9f	apple.geod	T
ba40fea2b2638908a3b3b482ac78d729	apple.geod	T
f753495f2eab5155c61b760c838018f8	apple.geod	T
3e4e87dda5a3162306609b7e330441d2	apple.WebKit.Networking	T
474e73aea21d1e0910f25c3e6c178535	apple.WebKit.Networking	T
7b343af1092863fdd822d6f10645abfb	apple.WebKit.Networking	T
eeeb5e7485f5e10cbc39db4cfb69b264	apple.WebKit.Networking	T
a312f9162a08eeedf7feb7a13cd7e9bb	apple.WebKit.Networking;Skype;iTunes"	T
63de2b6188d5694e79b678f585b13264	apple.WebKit.Networking;socialstudio	T
d4693422c5ce1565377aca25940ad80c	Apple_Push_Notification_System	T
69b2859aec70e8934229873fe53902fd	Apple_Spotlight	T
6b9b64bbe95ea112d02c8812fc2e7ef0	Apple_Spotlight	T
e5e4c0eeb02fdcf30af8235b4de07780	Apple_Spotlight	T
3e404f1e1b5a79e614d7543a79f3a1da	Apple_Spotlight_Search_(OSX)	T
97827640b0c15c83379b7d71a3c2c5b4	Apple_SpotlightNetHelper_(OSX)	T
47e42b00af27b87721e526ff85fd2310	Apple_usbmuxd_iOS_socket_multiplexer	T
1a6ef47ab8325fbb42c447048cea9167	AppleWebKit/533.1_(KHTML_like_Gecko)_Version/4.0_Mobile_Safari/533.1	T
b677934e592ece9e09805bf36cd68d8a	AppleWebKit/533.1_(KHTML_like_Gecko)_Version/4.0_Mobile_Safari/533.1	T
